11-07-2020 19:33:33.261 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$8509b5ae] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11-07-2020 19:33:33.664 INFO  [main] c.e.r.CartServiceApplication - No active profile set, falling back to default profiles: default
11-07-2020 19:33:34.768 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
11-07-2020 19:33:34.847 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 70ms. Found 1 JPA repository interfaces.
11-07-2020 19:33:35.037 INFO  [main] o.s.cloud.context.scope.GenericScope - BeanFactory id=007d42fa-6534-3d98-972a-0dac1ec65c51
11-07-2020 19:33:35.125 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.example.rentservice.feignClient.RequestClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11-07-2020 19:33:35.175 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$8509b5ae] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11-07-2020 19:33:35.441 INFO  [main] o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
11-07-2020 19:33:35.543 INFO  [task-1] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
11-07-2020 19:33:35.596 INFO  [task-1] org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.15.Final
11-07-2020 19:33:35.677 INFO  [main] o.s.d.r.c.DeferredRepositoryInitializationListener - Triggering deferred initialization of Spring Data repositories…
11-07-2020 19:33:35.756 INFO  [task-1] o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
11-07-2020 19:33:35.841 INFO  [task-1] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
11-07-2020 19:33:37.055 INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
11-07-2020 19:33:37.060 INFO  [main] o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
11-07-2020 19:33:37.086 INFO  [main] o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
11-07-2020 19:34:08.329 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$efee03d3] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11-07-2020 19:34:08.811 INFO  [main] c.e.r.CartServiceApplication - No active profile set, falling back to default profiles: default
11-07-2020 19:34:10.050 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
11-07-2020 19:34:10.143 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 84ms. Found 1 JPA repository interfaces.
11-07-2020 19:34:10.346 INFO  [main] o.s.cloud.context.scope.GenericScope - BeanFactory id=007d42fa-6534-3d98-972a-0dac1ec65c51
11-07-2020 19:34:10.452 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.example.rentservice.feignClient.RequestClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11-07-2020 19:34:10.531 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$efee03d3] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11-07-2020 19:34:10.882 INFO  [main] o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
11-07-2020 19:34:11.003 INFO  [task-1] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
11-07-2020 19:34:11.076 INFO  [task-1] org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.15.Final
11-07-2020 19:34:11.193 INFO  [main] o.s.d.r.c.DeferredRepositoryInitializationListener - Triggering deferred initialization of Spring Data repositories…
11-07-2020 19:34:11.271 INFO  [task-1] o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
11-07-2020 19:34:11.412 INFO  [task-1] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
11-07-2020 19:34:11.702 INFO  [task-1] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
11-07-2020 19:34:11.721 INFO  [task-1] org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
11-07-2020 19:34:12.600 INFO  [task-1] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
11-07-2020 19:34:12.607 INFO  [task-1] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
11-07-2020 19:34:12.870 INFO  [main] o.s.d.r.c.DeferredRepositoryInitializationListener - Spring Data repositories initialized!
11-07-2020 19:34:13.203 INFO  [main] c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
11-07-2020 19:34:13.211 INFO  [main] c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
11-07-2020 19:34:14.085 INFO  [main] o.s.b.w.e.netty.NettyWebServer - Netty started on port(s): 8087
11-07-2020 19:34:14.089 INFO  [main] o.s.d.r.c.DeferredRepositoryInitializationListener - Triggering deferred initialization of Spring Data repositories…
11-07-2020 19:34:14.090 INFO  [main] o.s.d.r.c.DeferredRepositoryInitializationListener - Spring Data repositories initialized!
11-07-2020 19:34:14.104 INFO  [main] c.e.r.CartServiceApplication - Started CartServiceApplication in 7.387 seconds (JVM running for 8.422)
11-07-2020 19:42:05.801 INFO  [reactor-http-epoll-2] c.e.r.c.CreateRequestController - Korisnik roki trazi kreiranje zahtjeva za iznajmljivanje iz korpe. 2020-07-11T19:42:05.799
11-07-2020 19:42:05.960 INFO  [reactor-http-epoll-2] o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
11-07-2020 19:42:05.996 INFO  [reactor-http-epoll-2] o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#799ed4e8:0/SimpleConnection@573250b [delegate=amqp://guest@127.0.0.1:5672/, localPort= 34004]
11-07-2020 19:42:06.101 INFO  [reactor-http-epoll-2] c.e.r.c.CreateRequestController - Korisnik roki uspjesno kreirao zahtjeve za vozila iz korpe. 2020-07-11T19:42:06.101
11-07-2020 19:44:38.253 INFO  [SpringContextShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
11-07-2020 19:44:38.255 INFO  [SpringContextShutdownHook] o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
11-07-2020 19:44:40.273 INFO  [SpringContextShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
11-07-2020 19:44:40.282 INFO  [SpringContextShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
11-07-2020 19:44:45.695 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$be57aac5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11-07-2020 19:44:46.141 INFO  [main] c.e.r.CartServiceApplication - No active profile set, falling back to default profiles: default
11-07-2020 19:44:46.838 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
11-07-2020 19:44:46.915 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 69ms. Found 1 JPA repository interfaces.
11-07-2020 19:44:47.095 INFO  [main] o.s.cloud.context.scope.GenericScope - BeanFactory id=007d42fa-6534-3d98-972a-0dac1ec65c51
11-07-2020 19:44:47.185 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.example.rentservice.feignClient.RequestClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11-07-2020 19:44:47.232 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$be57aac5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11-07-2020 19:44:47.488 INFO  [main] o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
11-07-2020 19:44:47.566 INFO  [task-1] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
11-07-2020 19:44:47.621 INFO  [task-1] org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.15.Final
11-07-2020 19:44:47.718 INFO  [main] o.s.d.r.c.DeferredRepositoryInitializationListener - Triggering deferred initialization of Spring Data repositories…
11-07-2020 19:44:47.783 INFO  [task-1] o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
11-07-2020 19:44:47.867 INFO  [task-1] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
11-07-2020 19:44:48.067 INFO  [task-1] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
11-07-2020 19:44:48.082 INFO  [task-1] org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
11-07-2020 19:44:48.741 INFO  [task-1] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
11-07-2020 19:44:48.748 INFO  [task-1] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
11-07-2020 19:44:48.971 INFO  [main] o.s.d.r.c.DeferredRepositoryInitializationListener - Spring Data repositories initialized!
11-07-2020 19:44:49.272 INFO  [main] c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
11-07-2020 19:44:49.278 INFO  [main] c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
11-07-2020 19:44:49.938 INFO  [main] o.s.b.w.e.netty.NettyWebServer - Netty started on port(s): 8087
11-07-2020 19:44:49.941 INFO  [main] o.s.d.r.c.DeferredRepositoryInitializationListener - Triggering deferred initialization of Spring Data repositories…
11-07-2020 19:44:49.942 INFO  [main] o.s.d.r.c.DeferredRepositoryInitializationListener - Spring Data repositories initialized!
11-07-2020 19:44:49.952 INFO  [main] c.e.r.CartServiceApplication - Started CartServiceApplication in 5.797 seconds (JVM running for 6.8)
11-07-2020 19:45:45.574 INFO  [reactor-http-epoll-2] c.e.r.c.CreateRequestController - Korisnik roki trazi kreiranje zahtjeva za iznajmljivanje iz korpe. 2020-07-11T19:45:45.573
11-07-2020 19:45:45.741 INFO  [reactor-http-epoll-2] o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
11-07-2020 19:45:45.783 INFO  [reactor-http-epoll-2] o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#2e66bc32:0/SimpleConnection@20646b6 [delegate=amqp://guest@127.0.0.1:5672/, localPort= 34304]
11-07-2020 19:45:45.903 INFO  [reactor-http-epoll-2] c.e.r.c.CreateRequestController - Korisnik roki uspjesno kreirao zahtjeve za vozila iz korpe. 2020-07-11T19:45:45.903
11-07-2020 19:50:08.371 INFO  [SpringContextShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
