26-06-2020 17:01:21.112 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$229a0e3e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
26-06-2020 17:01:21.313 INFO  [main] c.e.m.MessagingServiceApplication - No active profile set, falling back to default profiles: default
26-06-2020 17:01:21.845 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
26-06-2020 17:01:22.026 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 173ms. Found 2 JPA repository interfaces.
26-06-2020 17:01:22.216 INFO  [main] o.s.cloud.context.scope.GenericScope - BeanFactory id=32adb7bd-94ed-3b65-824c-74b78c3d0e7a
26-06-2020 17:01:22.351 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.example.messagingservice.feignClinet.RequestClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
26-06-2020 17:01:22.409 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$229a0e3e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
26-06-2020 17:01:22.719 INFO  [main] o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
26-06-2020 17:01:22.847 INFO  [task-1] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
26-06-2020 17:01:22.909 INFO  [task-1] org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.15.Final
26-06-2020 17:01:23.073 INFO  [main] o.s.d.r.c.DeferredRepositoryInitializationListener - Triggering deferred initialization of Spring Data repositories…
26-06-2020 17:01:23.161 INFO  [task-1] o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
26-06-2020 17:01:23.328 INFO  [task-1] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
26-06-2020 17:01:23.490 INFO  [task-1] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
26-06-2020 17:01:23.507 INFO  [task-1] org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
